City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,crane,31.3974,-102.3501,33.74,21,0,3.48,US,1722042795
223,rzhev,56.2624,34.3282,13.8,82,9,1.99,RU,1722042798
224,port elizabeth,-33.918,25.5701,10.73,95,0,3.25,ZA,1722042799
225,bac lieu,9.285,105.7244,27.24,85,100,3.67,VN,1722042800
226,nagqu,31.5,92.0,7.2,93,100,1.9,CN,1722042802
227,amnat charoen,15.9167,104.75,25.07,90,100,5.23,TH,1722042804
228,salekhard,66.53,66.6019,11.96,81,100,1.62,RU,1722042805
229,badger,64.8,-147.5333,15.14,84,100,0.45,US,1722042806
230,tanumah,27.1,44.1333,29.97,13,31,5.44,SA,1722042807
231,kolonia,50.9333,6.95,19.6,89,75,2.06,DE,1722042808
232,colby,39.3958,-101.0524,31.03,39,0,9.26,US,1722042751
233,jamestown,42.097,-79.2353,18.07,83,0,1.94,US,1722042569
234,hit,33.6416,42.8251,31.77,25,0,6.03,IQ,1722042812
235,teluknaga,-6.0989,106.6381,30.21,65,20,3.6,ID,1722042813
236,port blair,11.6667,92.75,28.17,86,100,9.2,IN,1722042814
237,amalapuram,16.5833,82.0167,24.89,92,100,3.59,IN,1722042815
238,westport,41.1415,-73.3579,24.75,62,100,0.89,US,1722042817
239,rio grande,-32.035,-52.0986,12.19,91,0,3.26,BR,1722042818
240,mar del plata,-38.0023,-57.5575,11.16,88,100,4.47,AR,1722042819
241,akureyri,65.6835,-18.0878,9.91,93,99,1.24,IS,1722042820
242,bell ville,-32.6259,-62.6887,14.13,50,100,2.08,AR,1722042821
243,port lincoln,-34.7333,135.8667,12.4,45,27,6.97,AU,1722042823
244,rawson,-43.3002,-65.1023,8.8,38,1,8.66,AR,1722042824
245,ain sefra,32.75,-0.5833,26.1,25,100,1.12,DZ,1722042825
246,rumuruti,0.267,36.5389,16.02,91,97,1.94,KE,1722042826
247,eureka,40.8021,-124.1637,17.89,82,36,1.34,US,1722042634
248,susangerd,31.5608,48.1831,36.21,14,5,7.71,IR,1722042829
249,caleta de carquin,-11.0925,-77.6267,16.83,81,19,4.65,PE,1722042830
250,puerto real,36.5282,-6.1901,21.81,88,0,0.0,ES,1722042831
251,port clinton,41.512,-82.9377,23.32,62,0,2.06,US,1722042832
252,waspan,14.7419,-83.9717,25.0,95,72,1.58,NI,1722042834
253,nogliki,51.8333,143.1667,22.73,63,7,6.93,RU,1722042835
254,inverell,-29.7833,151.1167,11.73,97,100,0.89,AU,1722042836
255,chahal guatemala,15.75,-89.5667,24.49,95,99,1.26,GT,1722042837
256,nadi,-17.8,177.4167,26.0,50,40,7.72,FJ,1722042638
257,kailua-kona,19.6406,-155.9956,28.98,74,40,6.69,US,1722042839
258,odda,60.0691,6.5457,15.43,97,100,0.89,NO,1722042841
259,enewetak,11.3474,162.3373,28.43,78,74,9.15,MH,1722042842
260,la'ie,21.6477,-157.9253,28.03,72,100,5.81,US,1722042843
261,pangai,-19.8,-174.35,22.8,69,11,9.62,TO,1722042844
262,al qubbah,32.7616,22.2424,20.76,83,0,5.17,LY,1722042845
263,st. john's,47.5649,-52.7093,17.31,92,100,3.58,CA,1722042847
264,chibougamau,49.9168,-74.3659,14.34,53,100,0.65,CA,1722042848
265,alofi,-19.0595,-169.9187,25.94,69,75,8.75,NU,1722042849
266,kibuye,-2.0597,29.3482,20.0,57,81,0.48,RW,1722042850
267,thompson,55.7435,-97.8558,23.0,38,3,7.56,CA,1722042852
268,kyustendil,42.2839,22.6911,17.12,66,0,2.12,BG,1722042853
269,mpulungu,-8.7623,31.1141,19.13,26,0,2.69,ZM,1722042854
270,rosolina,45.0731,12.2486,24.01,68,0,2.11,IT,1722042855
271,quelimane,-17.8786,36.8883,18.17,92,0,1.99,MZ,1722042856
272,bathsheba,13.2167,-59.5167,28.34,83,20,7.72,BB,1722042858
273,tazovsky,67.4667,78.7,10.5,90,100,2.81,RU,1722042859
274,luanda,-8.8368,13.2343,20.14,85,83,1.95,AO,1722042356
275,lokomotivnyy,53.0118,60.5684,11.01,88,100,10.54,RU,1722042861
276,choibalsan,48.0667,114.5,16.87,98,100,3.8,MN,1722042862
277,northam,51.0333,-4.2167,13.14,93,0,2.66,GB,1722042864
278,howard springs,-12.497,131.047,28.32,81,29,1.97,AU,1722042865
279,sofifi,0.7349,127.576,28.57,73,94,1.8,ID,1722042868
280,stornoway,58.2093,-6.3865,11.13,92,75,3.6,GB,1722042870
281,tataouine,32.9297,10.4518,25.71,49,0,1.67,TN,1722042871
282,lewistown,40.5992,-77.5714,21.76,86,0,0.0,US,1722042872
283,el calafate,-50.3408,-72.2768,-0.95,94,100,1.95,AR,1722042873
284,kayangel,8.0823,134.7173,28.53,81,100,9.18,PW,1722042874
285,adrar,20.5022,-10.0711,33.17,25,84,4.12,MR,1722042876
286,galveston,29.3669,-94.9669,26.77,87,20,2.57,US,1722042877
287,mahina,-17.5065,-149.489,27.87,61,40,8.23,PF,1722042879
288,geraldton,-28.7667,114.6,12.23,87,0,4.63,AU,1722042880
289,celldomolk,47.2571,17.1503,18.94,59,99,2.49,HU,1722042881
290,ardestan,33.3761,52.3694,32.34,19,0,1.39,IR,1722042883
291,bamboo flat,11.7,92.7167,27.74,86,100,8.94,IN,1722042884
292,nyurba,63.2842,118.3319,19.66,55,100,1.8,RU,1722042886
293,zahedan,29.4963,60.8629,25.58,28,28,1.92,IR,1722042888
294,kosmach,48.7509,24.3673,13.59,87,71,2.22,UA,1722042889
295,papao,-17.75,-149.55,27.82,69,46,6.01,PF,1722042890
296,sinabang,2.4803,96.3801,28.02,78,100,2.48,ID,1722042891
297,miastko,54.0028,16.9826,13.92,84,100,2.35,PL,1722042892
298,xucheng,20.35,110.1288,29.06,76,100,2.91,CN,1722042894
299,rikaze,29.25,88.8833,15.6,60,100,0.94,CN,1722042895
300,oroqen zizhiqi,50.5667,123.7167,20.1,82,100,3.3,CN,1722042896
301,plaza huincul,-38.926,-69.2086,5.08,10,0,3.58,AR,1722042897
302,kavieng,-2.5744,150.7967,27.75,80,93,3.61,PG,1722042898
303,kerikeri,-35.2268,173.9474,15.03,59,26,1.74,NZ,1722042900
